Michael,252,94.363,2.142,1.592,0.092,0.118,1.693
John,143,94.384,1.729,1.932,0.124,0.101,1.729
David,171,92.808,1.393,2.393,0.106,0.077,3.223
Robert,181,94.511,2.161,0.924,0.128,0.137,2.138
James,161,94.016,3.279,1.472,0.116,0.118,1
William,78,94.523,2.558,1.3,0.103,0.119,1.397
Richard,115,93.697,1.409,1.801,0.079,0.145,2.869
Thomas,66,95.917,1.31,1.569,0.113,0.117,0.974
Mark,95,96.338,1.175,1.054,0.063,0.1,1.271
Mary,23476,92.351,3.327,1.526,0.174,0.114,2.509
Joseph,61,92.139,2.553,2.12,0.144,0.108,2.936
Daniel,90,90.491,1.15,1.859,0.172,0.139,6.189
Christopher,74,94.544,1.998,1.401,0.125,0.144,1.786
Susan,19454,96.281,0.5,1.872,0.082,0.148,1.117
Jennifer,19280,94.436,1.199,2.216,0.072,0.134,1.943
Steven,68,95.271,1.181,2.054,0.074,0.069,1.351
Jeffrey,66,96.739,1.022,1.315,0.109,0.125,0.69
Brian,54,96.182,1.338,1.59,0.098,0.076,0.716
Paul,62,93.143,1.452,3.066,0.109,0.092,2.138
Patricia,16711,90.067,3.919,0.787,0.136,0.154,4.937
Charles,56,91.379,5.547,1.494,0.16,0.191,1.23
Linda,16110,92.674,3.114,1.899,0.08,0.136,2.097
Matthew,42,97.349,0.679,0.783,0.078,0.091,1.019
Karen,14805,94.706,2.456,1.516,0.074,0.081,1.167
Scott,43,98.311,0.271,0.868,0.061,0.061,0.427
Kevin,50,92.962,2.836,3.237,0.061,0.088,0.816
Lisa,14582,93.639,2.346,1.662,0.109,0.116,2.127
Timothy,55,96.274,1.763,1.044,0.138,0.09,0.691
Stephen,41,96.291,1.112,1.729,0.057,0.05,0.76
Barbara,12807,93.068,4.551,0.583,0.093,0.078,1.626
Elizabeth,12681,90.547,1.523,1.759,0.102,0.102,5.967
Kenneth,58,92.305,4.224,2.168,0.088,0.152,1.064
Gary,59,95.396,1.68,1.903,0.091,0.132,0.799
Donald,31,95.057,3.251,0.722,0.166,0.083,0.722
Ronald,45,92.396,4.029,1.586,0.201,0.176,1.611
Jason,46,93.542,1.574,2.861,0.161,0.195,1.667
Nancy,11398,93.158,0.85,2.185,0.113,0.104,3.59
Maria,11037,34.521,0.902,5.323,0.018,0.107,59.128
Andrew,34,93.212,1.69,3.07,0.11,0.037,1.882
Kathleen,10826,97.654,0.515,0.837,0.092,0.129,0.773
Eric,43,89.53,3.727,3.496,0.129,0.148,2.97
Deborah,10603,93.945,3.652,0.676,0.094,0.141,1.493
Gregory,28,93.965,3.871,0.896,0.086,0.114,1.068
Anthony,41,84.161,7.199,3.154,0.174,0.213,5.099
Edward,33,89.221,3.422,2.937,0.148,0.129,4.144
Peter,40,91.675,1.144,5.043,0.099,0.099,1.94
Michelle,9864,90.682,3.402,2.584,0.151,0.131,3.049
Sandra,9715,86.714,4.34,1.06,0.204,0.102,7.58
Amy,9743,95.56,0.358,2.844,0.143,0.102,0.992
Kimberly,9603,93.982,3.756,0.892,0.104,0.176,1.09
Laura,9479,92.509,0.756,0.872,0.137,0.137,5.589
George,30,86.945,4.891,3.088,0.194,0.173,4.708
Cynthia,9055,89.131,4.88,1.941,0.11,0.165,3.773
Carol,8885,94.481,2.561,1.258,0.121,0.132,1.446
Donna,8886,95.083,2.609,0.937,0.1,0.145,1.126
Julie,8717,95.087,0.4,2.822,0.114,0.114,1.462
Jose,84,7.244,0.289,2.534,0.081,0.023,89.829
Patrick,28,93.944,2.432,2.257,0.082,0.082,1.204
Douglas,31,96.767,1.211,1.011,0.082,0.141,0.788
Christine,8260,93.444,1.386,3.097,0.06,0.108,1.904
Sharon,8000,91.302,5.766,1.877,0.172,0.147,0.736
Pamela,8049,92.688,4.776,1.108,0.086,0.123,1.219
Dennis,52,93.49,1.927,2.838,0.117,0.117,1.51
Debra,7369,94.26,3.65,0.38,0.095,0.014,1.601
Diane,7225,94.47,2.464,1.246,0.096,0.082,1.643
Rebecca,7208,94.052,0.83,1.369,0.124,0.138,3.486
Margaret,7183,93.407,3.102,1.357,0.139,0.111,1.884
Kelly,6656,96.814,0.707,1.538,0.139,0.097,0.707
Melissa,7179,93.532,1.457,1.083,0.167,0.097,3.664
Larry,18,90.436,5.955,1.383,0.211,0.18,1.835
