MICHAEL,59532,94.363,2.142,1.592,0.092,0.118,1.693
JOHN,51696,94.384,1.729,1.932,0.124,0.101,1.729
DAVID,48307,92.808,1.393,2.393,0.106,0.077,3.223
ROBERT,48260,94.511,2.161,0.924,0.128,0.137,2.138
JAMES,45722,94.016,3.279,1.472,0.116,0.118,1
WILLIAM,31935,94.523,2.558,1.3,0.103,0.119,1.397
RICHARD,29033,93.697,1.409,1.801,0.079,0.145,2.869
THOMAS,27408,95.917,1.31,1.569,0.113,0.117,0.974
MARK,23920,96.338,1.175,1.054,0.063,0.1,1.271
MARY,23598,92.351,3.327,1.526,0.174,0.114,2.509
JOSEPH,22172,92.139,2.553,2.12,0.144,0.108,2.936
DANIEL,20876,90.491,1.15,1.859,0.172,0.139,6.189
CHRISTOPHER,20768,94.544,1.998,1.401,0.125,0.144,1.786
SUSAN,19604,96.281,0.5,1.872,0.082,0.148,1.117
JENNIFER,19356,94.436,1.199,2.216,0.072,0.134,1.943
STEVEN,18797,95.271,1.181,2.054,0.074,0.069,1.351
JEFFREY,18401,96.739,1.022,1.315,0.109,0.125,0.69
BRIAN,18306,96.182,1.338,1.59,0.098,0.076,0.716
PAUL,17354,93.143,1.452,3.066,0.109,0.092,2.138
PATRICIA,16894,90.067,3.919,0.787,0.136,0.154,4.937
CHARLES,16262,91.379,5.547,1.494,0.16,0.191,1.23
LINDA,16217,92.674,3.114,1.899,0.08,0.136,2.097
MATTHEW,15316,97.349,0.679,0.783,0.078,0.091,1.019
KAREN,14904,94.706,2.456,1.516,0.074,0.081,1.167
SCOTT,14744,98.311,0.271,0.868,0.061,0.061,0.427
KEVIN,14705,92.962,2.836,3.237,0.061,0.088,0.816
LISA,14621,93.639,2.346,1.662,0.109,0.116,2.127
TIMOTHY,14467,96.274,1.763,1.044,0.138,0.09,0.691
STEPHEN,13940,96.291,1.112,1.729,0.057,0.05,0.76
BARBARA,12854,93.068,4.551,0.583,0.093,0.078,1.626
ELIZABETH,12737,90.547,1.523,1.759,0.102,0.102,5.967
KENNETH,12501,92.305,4.224,2.168,0.088,0.152,1.064
GARY,12141,95.396,1.68,1.903,0.091,0.132,0.799
DONALD,12058,95.057,3.251,0.722,0.166,0.083,0.722
RONALD,11915,92.396,4.029,1.586,0.201,0.176,1.611
JASON,11815,93.542,1.574,2.861,0.161,0.195,1.667
NANCY,11532,93.158,0.85,2.185,0.113,0.104,3.59
MARIA,11196,34.521,0.902,5.323,0.018,0.107,59.128
ANDREW,10945,93.212,1.69,3.07,0.11,0.037,1.882
KATHLEEN,10868,97.654,0.515,0.837,0.092,0.129,0.773
ERIC,10840,89.53,3.727,3.496,0.129,0.148,2.97
DEBORAH,10652,93.945,3.652,0.676,0.094,0.141,1.493
GREGORY,10488,93.965,3.871,0.896,0.086,0.114,1.068
ANTHONY,10335,84.161,7.199,3.154,0.174,0.213,5.099
EDWARD,10112,89.221,3.422,2.937,0.148,0.129,4.144
PETER,10054,91.675,1.144,5.043,0.099,0.099,1.94
MICHELLE,9906,90.682,3.402,2.584,0.151,0.131,3.049
SANDRA,9815,86.714,4.34,1.06,0.204,0.102,7.58
AMY,9775,95.56,0.358,2.844,0.143,0.102,0.992
KIMBERLY,9637,93.982,3.756,0.892,0.104,0.176,1.09
LAURA,9518,92.509,0.756,0.872,0.137,0.137,5.589
GEORGE,9261,86.945,4.891,3.088,0.194,0.173,4.708
CYNTHIA,9118,89.131,4.88,1.941,0.11,0.165,3.773
CAROL,9060,94.481,2.561,1.258,0.121,0.132,1.446
DONNA,8969,95.083,2.609,0.937,0.1,0.145,1.126
JULIE,8753,95.087,0.4,2.822,0.114,0.114,1.462
JOSE,8642,7.244,0.289,2.534,0.081,0.023,89.829
PATRICK,8553,93.944,2.432,2.257,0.082,0.082,1.204
DOUGLAS,8505,96.767,1.211,1.011,0.082,0.141,0.788
CHRISTINE,8298,93.444,1.386,3.097,0.06,0.108,1.904
SHARON,8151,91.302,5.766,1.877,0.172,0.147,0.736
PAMELA,8124,92.688,4.776,1.108,0.086,0.123,1.219
DENNIS,7681,93.49,1.927,2.838,0.117,0.117,1.51
DEBRA,7369,94.26,3.65,0.38,0.095,0.014,1.601
DIANE,7305,94.47,2.464,1.246,0.096,0.082,1.643
REBECCA,7229,94.052,0.83,1.369,0.124,0.138,3.486
MARGARET,7220,93.407,3.102,1.357,0.139,0.111,1.884
KELLY,7218,96.814,0.707,1.538,0.139,0.097,0.707
MELISSA,7205,93.532,1.457,1.083,0.167,0.097,3.664
LARRY,6650,90.436,5.955,1.383,0.211,0.18,1.835
FRANK,6611,86.855,2.904,2.859,0.287,0.091,7.003
RYAN,6510,95.745,0.86,2.304,0.077,0.031,0.983
SARAH,6450,93.969,1.752,2.078,0.14,0.171,1.891
ANGELA,6432,85.619,7.167,1.975,0.187,0.202,4.851
STEPHANIE,6382,91.288,4.309,1.818,0.078,0.219,2.288
JONATHAN,6381,91.835,1.912,3.51,0.078,0.172,2.492
JANET,6368,93.153,2.575,1.963,0.126,0.141,2.041
CHERYL,5915,92.764,5.224,1.099,0.085,0.169,0.659
CATHERINE,5852,93.319,2.341,2.563,0.154,0.068,1.555
